Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Thủy tinh và các sản phẩm từ thủy tinh,11,2017,,104190.65
Thủy tinh và các sản phẩm từ thủy tinh,12,2017,,101694.79
"Đá quý, KL quý và sản phẩm",1,2017,,24830.96
"Đá quý, KL quý và sản phẩm",2,2017,,49109.53
"Đá quý, KL quý và sản phẩm",3,2017,,50031.97
"Đá quý, KL quý và sản phẩm",4,2017,,41646.59
"Đá quý, KL quý và sản phẩm",5,2017,,47249.91
"Đá quý, KL quý và sản phẩm",6,2017,,41007.15
"Đá quý, KL quý và sản phẩm",7,2017,,52875.21
"Đá quý, KL quý và sản phẩm",8,2017,,52816.94
"Đá quý, KL quý và sản phẩm",9,2017,,59042.55
"Đá quý, KL quý và sản phẩm",10,2017,,66259.31
"Đá quý, KL quý và sản phẩm",11,2017,,65353.63
"Đá quý, KL quý và sản phẩm",12,2017,,58583.46
Phế liệu sắt thép,1,2017,268.179,70310.56
Phế liệu sắt thép,2,2017,359.807,99014.63
Phế liệu sắt thép,3,2017,370.069,104693.23
Phế liệu sắt thép,4,2017,319.098,92428.77
Phế liệu sắt thép,5,2017,403.48,120688.27
Phế liệu sắt thép,6,2017,346.905,95910.78
Phế liệu sắt thép,7,2017,332.95,89968.16
Phế liệu sắt thép,8,2017,476.142,135328.15
Phế liệu sắt thép,9,2017,422.503,127676.37
Phế liệu sắt thép,10,2017,445.627,142112.71
Phế liệu sắt thép,11,2017,497.514,161163.22
Phế liệu sắt thép,12,2017,484.559,157327.09
Sắt thép,1,2017,1211.19,656776.49
Sắt thép,2,2017,1501.973,830438.75
Sắt thép,3,2017,1482.922,877897.53
Sắt thép,4,2017,1416.221,857350.7
Sắt thép,5,2017,1206.804,762482.86
Sắt thép,6,2017,1080.614,646503.08
Sắt thép,7,2017,1087.038,626551.26
Sắt thép,8,2017,1411.409,800633.08
Sắt thép,9,2017,1089.703,677021.44
Sắt thép,10,2017,1232.106,796097.35
Sắt thép,11,2017,1171.0,791000.0
Sắt thép,12,2017,1101.405,754000.0
Sản phẩm từ sắt thép,1,2017,,208760.65
Sản phẩm từ sắt thép,2,2017,,212109.76
Sản phẩm từ sắt thép,3,2017,,254658.0
Sản phẩm từ sắt thép,4,2017,,245559.46
Sản phẩm từ sắt thép,5,2017,,253756.22
Sản phẩm từ sắt thép,6,2017,,252627.53
Sản phẩm từ sắt thép,7,2017,,255809.38
Sản phẩm từ sắt thép,8,2017,,280347.05
Sản phẩm từ sắt thép,9,2017,,274730.26
Sản phẩm từ sắt thép,10,2017,,301438.69
Sản phẩm từ sắt thép,11,2017,,324498.41
Sản phẩm từ sắt thép,12,2017,,342234.38
Kim loại thường khác,1,2017,131.969,390912.95
Kim loại thường khác,2,2017,152.435,478926.11
Kim loại thường khác,3,2017,165.083,532913.18
Kim loại thường khác,4,2017,129.662,444747.14
Kim loại thường khác,5,2017,182.065,561318.34
Kim loại thường khác,6,2017,171.499,535522.08
Kim loại thường khác,7,2017,139.651,473441.82
Kim loại thường khác,8,2017,123.832,448357.47
Kim loại thường khác,9,2017,116.722,447331.41
Kim loại thường khác,10,2017,121.985,465704.74
Kim loại thường khác,11,2017,126.186,500941.06
Kim loại thường khác,12,2017,169.959,580219.43
Sản phẩm từ kim loại thường khác,1,2017,,52844.13
Sản phẩm từ kim loại thường khác,2,2017,,78497.44
Sản phẩm từ kim loại thường khác,3,2017,,76304.52
Sản phẩm từ kim loại thường khác,4,2017,,72779.74
Sản phẩm từ kim loại thường khác,5,2017,,72835.23
Sản phẩm từ kim loại thường khác,6,2017,,75815.7
Sản phẩm từ kim loại thường khác,7,2017,,76331.0
Sản phẩm từ kim loại thường khác,8,2017,,79130.87
Sản phẩm từ kim loại thường khác,9,2017,,78465.26
Sản phẩm từ kim loại thường khác,10,2017,,72560.56
Sản phẩm từ kim loại thường khác,11,2017,,83082.55
Sản phẩm từ kim loại thường khác,12,2017,,81998.92
"Điện tử, máy tính và LK",1,2017,,2181212.36
"Điện tử, máy tính và LK",2,2017,,2596019.48
"Điện tử, máy tính và LK",3,2017,,3169043.41
"Điện tử, máy tính và LK",4,2017,,3044036.0
"Điện tử, máy tính và LK",5,2017,,3159539.47
"Điện tử, máy tính và LK",6,2017,,3090810.66
"Điện tử, máy tính và LK",7,2017,,3093449.36
"Điện tử, máy tính và LK",8,2017,,3289046.68
"Điện tử, máy tính và LK",9,2017,,3666958.82
"Điện tử, máy tính và LK",10,2017,,3276268.97
"Điện tử, máy tính và LK",11,2017,,3500302.81
"Điện tử, máy tính và LK",12,2017,,3707521.65
Hàng điện gia dụng và linh kiện,1,2017,,83315.31
Hàng điện gia dụng và linh kiện,2,2017,,155519.81
Hàng điện gia dụng và linh kiện,3,2017,,231191.05
Hàng điện gia dụng và linh kiện,4,2017,,181559.36
Hàng điện gia dụng và linh kiện,5,2017,,191728.01
Hàng điện gia dụng và linh kiện,6,2017,,157748.94
Hàng điện gia dụng và linh kiện,7,2017,,116076.14
Hàng điện gia dụng và linh kiện,8,2017,,106296.23
Hàng điện gia dụng và linh kiện,9,2017,,92038.15
Hàng điện gia dụng và linh kiện,10,2017,,115531.72
Hàng điện gia dụng và linh kiện,11,2017,,149379.79
Hàng điện gia dụng và linh kiện,12,2017,,139781.62
Điện thoại các loại và linh kiện,1,2017,,833161.8
Điện thoại các loại và linh kiện,2,2017,,955129.88
Điện thoại các loại và linh kiện,3,2017,,1143953.56
Điện thoại các loại và linh kiện,4,2017,,1085154.52
Điện thoại các loại và linh kiện,5,2017,,1098668.5
Điện thoại các loại và linh kiện,6,2017,,1125067.55
Điện thoại các loại và linh kiện,7,2017,,1197790.36
Điện thoại các loại và linh kiện,8,2017,,1473858.81
Điện thoại các loại và linh kiện,9,2017,,1961962.44
Điện thoại các loại và linh kiện,10,2017,,1925532.48
Điện thoại các loại và linh kiện,11,2017,,1748162.53
Điện thoại các loại và linh kiện,12,2017,,1886434.56
"Máy ảnh, máy quay phim và linh kiện",1,2017,,137796.46
"Máy ảnh, máy quay phim và linh kiện",2,2017,,166574.42
"Máy ảnh, máy quay phim và linh kiện",3,2017,,167797.66
"Máy ảnh, máy quay phim và linh kiện",4,2017,,163047.84
"Máy ảnh, máy quay phim và linh kiện",5,2017,,143732.82
"Máy ảnh, máy quay phim và linh kiện",6,2017,,141588.99
"Máy ảnh, máy quay phim và linh kiện",7,2017,,160979.1
"Máy ảnh, máy quay phim và linh kiện",8,2017,,198220.24
"Máy ảnh, máy quay phim và linh kiện",9,2017,,226774.75
"Máy ảnh, máy quay phim và linh kiện",10,2017,,188718.24
"Máy ảnh, máy quay phim và linh kiện",11,2017,,244068.37
"Máy ảnh, máy quay phim và linh kiện",12,2017,,230184.81
"Máy móc, thiết bị, DC, PT khác",1,2017,,2241629.31
"Máy móc, thiết bị, DC, PT khác",2,2017,,2398450.29
