Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Cao su,9,2025,301916.10399999993,179779.0
Cao su,10,2025,304621.7040000005,197033.0
Cao su,11,2025,335873.3250000003,238663.0
Cao su,12,2025,404902.493,1907435.0
Chè,1,2017,10.0,13511.64
Chè,2,2017,10.0,14000.0
Chè,3,2017,10.414,14452.2
Chè,4,2017,10.0,15735.37
Chè,5,2017,15.0,19957.82
Chè,6,2017,14.0,21305.73
Chè,7,2017,13.453,22741.0
Chè,8,2017,13.804,23138.5
Chè,9,2017,12.0,20701.62
Chè,10,2017,14.0,24000.0
Chè,11,2017,14.0,23000.0
Chè,12,2017,12.0,20000.0
Chè,1,2018,10601.0,17000.39
Chè,2,2018,5936.0,8784.15
Chè,3,2018,8938.0,13609.61
Chè,4,2018,9491.0,15335.21
Chè,5,2018,10059.0,16384.88
Chè,6,2018,11495.0,20153.1
Chè,7,2018,11583.0,19884.01
Chè,8,2018,12938.0,21699.36
Chè,9,2018,10508.0,18566.8
Chè,10,2018,12199.0,23033.63
Chè,11,2018,11872.0,21896.18
Chè,12,2018,11718.0,21486.8
Chè,1,2019,12001.0,21208.38
Chè,2,2019,5377.0,8808.88
Chè,3,2019,9277.0,16646.2
Chè,4,2019,9389.0,15949.1
Chè,5,2019,10651.0,18268.2
Chè,6,2019,10494.0,18122.93
Chè,7,2019,11756.0,22787.44
Chè,8,2019,12375.0,22772.28
Chè,9,2019,12721.0,20739.78
Chè,10,2019,14114.0,24176.02
Chè,11,2019,14296.0,22683.1
Chè,12,2019,14651.0,24268.73
Chè,1,2020,7892.0,12205.55
Chè,2,2020,9451.0,13481.49
Chè,3,2020,9278.0,13110.15
Chè,4,2020,9805.0,16417.52
Chè,5,2020,9516.0,15672.87
Chè,6,2020,12070.0,20084.2
Chè,7,2020,13286.0,22050.73
Chè,8,2020,13294.0,21855.85
Chè,9,2020,13483.0,22263.34
Chè,10,2020,13658.0,23104.58
Chè,11,2020,12118.0,19872.65
Chè,12,2020,11113.0,17584.1
Chè,1,2021,14608.735,6691.0
Chè,2,2021,10776.134999999998,10239.0
Chè,3,2021,15979.73,10851.0
Chè,4,2021,17486.666999999998,10123.0
Chè,5,2021,16490.67400000001,11083.0
Chè,6,2021,19515.466,11467.0
Chè,7,2021,20663.12599999999,10343.0
Chè,8,2021,17436.749999999996,11695.0
Chè,9,2021,20331.236000000004,13186.0
Chè,10,2021,23096.695000000007,10153.0
Chè,11,2021,17382.56299999999,11865.0
Chè,12,2021,20113.320999999996,126799.0
Chè,1,2022,14713.484,5996.0
Chè,2,2022,8877.836,7982.0
Chè,3,2022,13108.430999999997,8912.0
Chè,4,2022,16289.997000000005,9507.0
Chè,5,2022,16875.292999999998,12335.0
Chè,6,2022,22721.702000000016,12459.0
Chè,7,2022,21080.654999999995,12723.0
Chè,8,2022,22904.616999999995,13193.0
Chè,9,2022,21245.34399999998,14237.0
Chè,10,2022,22480.627999999993,27845.0
Chè,11,2022,35685.71300000002,11917.0
Chè,12,2022,20498.174999999985,146074.0
Chè,1,2023,11368.196,6858.0
Chè,2,2023,11258.976,7727.0
Chè,3,2023,12585.038,8081.0
Chè,4,2023,13687.995000000004,9240.0
Chè,5,2023,15566.864,9619.0
Chè,6,2023,17072.36099999999,10511.0
Chè,7,2023,18401.20000000001,12152.0
Chè,8,2023,21930.561999999987,11053.0
Chè,9,2023,18913.626000000004,12005.0
Chè,10,2023,22013.77299999997,12339.0
Chè,11,2023,22070.694000000058,13471.0
Chè,12,2023,23330.701,119794.0
Chè,1,2024,21002.93,5255.0
Chè,2,2024,8173.267,8911.0
Chè,3,2024,14042.693,10129.0
Chè,4,2024,17129.129,9484.0
Chè,5,2024,15401.358999999997,15776.0
Chè,6,2024,30192.668000000005,15327.0
Chè,7,2024,27445.483999999997,15471.0
Chè,8,2024,29141.217999999993,13087.0
Chè,9,2024,23116.315,14468.0
Chè,10,2024,26289.459999999992,12659.0
Chè,11,2024,22677.088000000014,13142.0
Chè,12,2024,21799.683,146107.0
Chè,1,2025,16397.040999999997,7639.0
Chè,2,2025,11919.871000000006,9523.0
Chè,3,2025,14715.572999999997,8828.0
Chè,4,2025,14807.111000000004,10770.0
Chè,5,2025,18655.243,11437.0
Chè,6,2025,19995.802999999985,13707.0
Chè,7,2025,24176.254000000015,13354.0
Chè,8,2025,25068.793000000005,12270.0
Chè,9,2025,21530.64999999999,12101.0
Chè,10,2025,21344.485000000015,13780.0
Chè,11,2025,25400.906999999977,13844.0
Chè,12,2025,23887.645,136952.0
Chất dẻo nguyên liệu,1,2017,22.603,28643.86
Chất dẻo nguyên liệu,2,2017,33.987,41394.13
Chất dẻo nguyên liệu,3,2017,35.81,44139.64
Chất dẻo nguyên liệu,4,2017,30.294,36130.53
Chất dẻo nguyên liệu,5,2017,29.432,33794.08
Chất dẻo nguyên liệu,6,2017,29.244,31130.55
Chất dẻo nguyên liệu,7,2017,32.799,34816.0
Chất dẻo nguyên liệu,8,2017,41.189,46553.3
Chất dẻo nguyên liệu,9,2017,49.696,52867.46
Chất dẻo nguyên liệu,10,2017,54.881,54422.69
Chất dẻo nguyên liệu,11,2017,56.103,53945.04
Chất dẻo nguyên liệu,12,2017,60.278,56235.02
Chất dẻo nguyên liệu,1,2018,72920.0,63348.93
Chất dẻo nguyên liệu,2,2018,49439.0,51772.28
Chất dẻo nguyên liệu,3,2018,84104.0,78604.3
Chất dẻo nguyên liệu,4,2018,80382.0,75574.04
Chất dẻo nguyên liệu,5,2018,86376.0,87605.0
Chất dẻo nguyên liệu,6,2018,77374.0,81683.04
Chất dẻo nguyên liệu,7,2018,67155.0,72812.94
Chất dẻo nguyên liệu,8,2018,61957.0,79135.85
Chất dẻo nguyên liệu,9,2018,57982.0,63951.39
Chất dẻo nguyên liệu,10,2018,88352.0,108536.11
Chất dẻo nguyên liệu,11,2018,81605.0,98343.31
Chất dẻo nguyên liệu,12,2018,89712.0,107147.63
Chất dẻo nguyên liệu,1,2019,110381.0,127827.27
Chất dẻo nguyên liệu,2,2019,75552.0,85918.41
Chất dẻo nguyên liệu,3,2019,87775.0,102288.26
Chất dẻo nguyên liệu,4,2019,93700.0,111069.09
Chất dẻo nguyên liệu,5,2019,94741.0,106533.51
Chất dẻo nguyên liệu,6,2019,91814.0,104921.98
Chất dẻo nguyên liệu,7,2019,106621.0,115117.91
Chất dẻo nguyên liệu,8,2019,102580.0,109651.72
Chất dẻo nguyên liệu,9,2019,108299.0,111199.5
Chất dẻo nguyên liệu,10,2019,106251.0,107073.88
Chất dẻo nguyên liệu,11,2019,95504.0,92164.48
Chất dẻo nguyên liệu,12,2019,91371.0,91384.61
Chất dẻo nguyên liệu,1,2020,77846.0,80087.23
Chất dẻo nguyên liệu,2,2020,82460.0,89040.29
Chất dẻo nguyên liệu,3,2020,108175.0,107383.02
Chất dẻo nguyên liệu,4,2020,143525.0,125974.04
Chất dẻo nguyên liệu,5,2020,121384.0,97725.36
Chất dẻo nguyên liệu,6,2020,105104.0,88978.85
Chất dẻo nguyên liệu,7,2020,125619.0,111634.13
Chất dẻo nguyên liệu,8,2020,137016.0,121424.44
Chất dẻo nguyên liệu,9,2020,151517.0,140780.48
Chất dẻo nguyên liệu,10,2020,130614.0,124168.69
Chất dẻo nguyên liệu,11,2020,140472.0,134692.55
Chất dẻo nguyên liệu,12,2020,125011.0,125932.26
Chất dẻo nguyên liệu,1,2021,135992.635,105450.0
Chất dẻo nguyên liệu,2,2021,122393.793,171951.0
Chất dẻo nguyên liệu,3,2021,211286.35,134502.0
Chất dẻo nguyên liệu,4,2021,191345.36000000004,142371.0
Chất dẻo nguyên liệu,5,2021,194515.75200000004,142616.0
Chất dẻo nguyên liệu,6,2021,188635.92499999976,129197.0
Chất dẻo nguyên liệu,7,2021,171333.40700000006,146830.0
Chất dẻo nguyên liệu,8,2021,209049.65099999975,146318.0
Chất dẻo nguyên liệu,9,2021,211512.67100000003,144624.0
Chất dẻo nguyên liệu,10,2021,228315.49200000003,138419.0
Chất dẻo nguyên liệu,11,2021,204572.9399999999,125526.0
Chất dẻo nguyên liệu,12,2021,195414.33599999984,1649483.0
Chất dẻo nguyên liệu,1,2022,208448.933,127086.0
Chất dẻo nguyên liệu,2,2022,192714.745,147580.0
Chất dẻo nguyên liệu,3,2022,222762.90400000007,114854.0
Chất dẻo nguyên liệu,4,2022,231344.92799999993,137202.0
Chất dẻo nguyên liệu,5,2022,214820.93100000007,161748.0
Chất dẻo nguyên liệu,6,2022,199894.7049999998,106742.0
Chất dẻo nguyên liệu,7,2022,163248.32799999995,163658.0
Chất dẻo nguyên liệu,8,2022,213246.12199999992,105561.0
Chất dẻo nguyên liệu,9,2022,135800.594,105866.0
Chất dẻo nguyên liệu,10,2022,132980.55000000002,167409.0
Chất dẻo nguyên liệu,11,2022,195342.20299999995,173132.0
Chất dẻo nguyên liệu,12,2022,198673.27600000027,1641694.0
Chất dẻo nguyên liệu,1,2023,140077.691,157806.0
Chất dẻo nguyên liệu,2,2023,184980.844,165671.0
Chất dẻo nguyên liệu,3,2023,193973.86100000003,157462.0
Chất dẻo nguyên liệu,4,2023,182876.97799999992,137675.0
Chất dẻo nguyên liệu,5,2023,161999.29200000007,142602.0
Chất dẻo nguyên liệu,6,2023,163441.07,155698.0
Chất dẻo nguyên liệu,7,2023,167425.98599999998,167465.0
Chất dẻo nguyên liệu,8,2023,184402.71199999977,151017.0
Chất dẻo nguyên liệu,9,2023,168526.00200000004,190191.0
Chất dẻo nguyên liệu,10,2023,209934.9869999999,196667.0
Chất dẻo nguyên liệu,11,2023,210625.26200000005,190399.0
Chất dẻo nguyên liệu,12,2023,200476.25699999975,1931495.0
Chất dẻo nguyên liệu,1,2024,268148.782,194743.0
Chất dẻo nguyên liệu,2,2024,214365.167,230251.0
Chất dẻo nguyên liệu,3,2024,253223.735,183802.0
Chất dẻo nguyên liệu,4,2024,205574.79599999997,182514.0
Chất dẻo nguyên liệu,5,2024,201125.1410000001,190709.0
Chất dẻo nguyên liệu,6,2024,219163.4299999999,160867.0
Chất dẻo nguyên liệu,7,2024,182846.713,184462.0
Chất dẻo nguyên liệu,8,2024,209076.8970000001,232672.0
Chất dẻo nguyên liệu,9,2024,246858.609,248933.0
Chất dẻo nguyên liệu,10,2024,259803.06099999975,175188.0
Chất dẻo nguyên liệu,11,2024,194144.05600000033,158292.0
Chất dẻo nguyên liệu,12,2024,176480.546,2397116.0
Chất dẻo nguyên liệu,1,2025,158224.78799999997,194369.0
Chất dẻo nguyên liệu,2,2025,211270.0240000001,216714.0
Chất dẻo nguyên liệu,3,2025,224553.99799999988,182296.0
Chất dẻo nguyên liệu,4,2025,194716.95200000016,190838.0
Chất dẻo nguyên liệu,5,2025,200133.29200000004,187080.0
Chất dẻo nguyên liệu,6,2025,195331.57899999977,163288.0
Chất dẻo nguyên liệu,7,2025,179104.8870000002,158587.0
Chất dẻo nguyên liệu,8,2025,174012.02999999988,189316.0
Chất dẻo nguyên liệu,9,2025,192017.77200000043,213152.0
Chất dẻo nguyên liệu,10,2025,211852.5030000001,205858.0
Chất dẻo nguyên liệu,11,2025,202756.78800000023,208594.0
Chất dẻo nguyên liệu,12,2025,202946.908,2255166.0
Clanhke và xi măng,1,2017,,43914.31
Clanhke và xi măng,2,2017,,57840.07
Clanhke và xi măng,3,2017,,63360.15
Clanhke và xi măng,4,2017,,64226.02
Clanhke và xi măng,5,2017,,55966.42
Clanhke và xi măng,6,2017,,41289.31
Clanhke và xi măng,7,2017,,49592.45
Clanhke và xi măng,8,2017,,49187.32
Clanhke và xi măng,9,2017,,49713.94
Clanhke và xi măng,10,2017,,55873.08
Clanhke và xi măng,11,2017,,78087.28
Clanhke và xi măng,12,2017,,97591.18
Clanhke và xi măng,1,2018,2904284.0,101120.72
Clanhke và xi măng,2,2018,2147511.0,76894.28
Clanhke và xi măng,3,2018,3451662.0,118861.84
Clanhke và xi măng,4,2018,2582557.0,95660.89
Clanhke và xi măng,5,2018,2290524.0,89698.41
Clanhke và xi măng,6,2018,2138278.0,88600.83
Clanhke và xi măng,7,2018,2138426.0,85465.0
Clanhke và xi măng,8,2018,3018344.0,123371.74
Clanhke và xi măng,9,2018,2716607.0,111125.12
Clanhke và xi măng,10,2018,2827000.0,119743.34
Clanhke và xi măng,11,2018,2787835.0,117981.77
Clanhke và xi măng,12,2018,2630762.0,113896.55
Clanhke và xi măng,1,2019,2874154.0,123266.4
Clanhke và xi măng,2,2019,2303316.0,97843.65
Clanhke và xi măng,3,2019,3380101.0,143457.64
Clanhke và xi măng,4,2019,2784905.0,117131.98
Clanhke và xi măng,5,2019,2474355.0,108247.5
Clanhke và xi măng,6,2019,1782870.0,76875.98
Clanhke và xi măng,7,2019,2271384.0,92380.66
Clanhke và xi măng,8,2019,2866918.0,113577.88
Clanhke và xi măng,9,2019,2649458.0,105356.46
Clanhke và xi măng,10,2019,3510000.0,138471.73
Clanhke và xi măng,11,2019,3457151.0,137936.55
Clanhke và xi măng,12,2019,3517697.0,138234.55
Clanhke và xi măng,1,2020,2686654.0,106032.14
Clanhke và xi măng,2,2020,2322143.0,93862.67
Clanhke và xi măng,3,2020,2721309.0,101156.63
Clanhke và xi măng,4,2020,2777133.0,93807.6
Clanhke và xi măng,5,2020,3122884.0,110471.64
Clanhke và xi măng,6,2020,2829590.0,109497.71
Clanhke và xi măng,7,2020,3233565.0,119566.44
Clanhke và xi măng,8,2020,4215359.0,147523.69
Clanhke và xi măng,9,2020,4340624.0,159807.08
Clanhke và xi măng,10,2020,3427118.0,136823.78
Clanhke và xi măng,11,2020,3139425.0,122129.6
Clanhke và xi măng,12,2020,3616142.0,135174.85
Clanhke và xi măng,1,2021,116302.211,2849456.0
Clanhke và xi măng,2,2021,100701.492,4627695.0
Clanhke và xi măng,3,2021,174467.37899999996,4326098.0
Clanhke và xi măng,4,2021,171169.00299999997,3181365.0
Clanhke và xi măng,5,2021,131726.40100000007,2729564.0
Clanhke và xi măng,6,2021,113366.69199999994,3497395.0
Clanhke và xi măng,7,2021,133070.50500000006,4338921.0
Clanhke và xi măng,8,2021,161762.53999999998,4536712.0
Clanhke và xi măng,9,2021,169352.03999999998,4259608.0
Clanhke và xi măng,10,2021,165908.827,4442764.0
Clanhke và xi măng,11,2021,189901.79999999976,2786028.0
Clanhke và xi măng,12,2021,145674.20599999995,44712326.0
Clanhke và xi măng,1,2022,161143.737,3715364.0
Clanhke và xi măng,2,2022,153858.47800000003,3263404.0
Clanhke và xi măng,3,2022,142603.76199999996,3134891.0
Clanhke và xi măng,4,2022,143318.807,831446.0
Clanhke và xi măng,5,2022,71872.08399999997,2084898.0
Clanhke và xi măng,6,2022,64408.34399999998,2208158.0
Clanhke và xi măng,7,2022,103774.36400000005,3167548.0
Clanhke và xi măng,8,2022,140267.11299999987,1687352.0
Clanhke và xi măng,9,2022,76866.20099999983,2118319.0
Clanhke và xi măng,10,2022,94361.86200000014,2558602.0
Clanhke và xi măng,11,2022,106828.60099999976,3080302.0
Clanhke và xi măng,12,2022,125330.89100000005,31685479.0
Clanhke và xi măng,1,2023,81561.972,3037651.0
