Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2018,Thiết bị và đồ dùng gia đình,1,100.16,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,Thuốc và dịch vụ y tế,1,101.83,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Healthcare
2018,Giao thông,1,101.17,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Transport
2018,Bưu chính viễn thông,1,99.91,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2018,Giáo dục,1,100.03,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2018,"Văn hóa, giải trí và du lịch",1,100.07,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,Hàng hoá và dịch vụ khác,1,100.4,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,Chỉ số giá vàng,1,101.69,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Financial/Other
2018,Chỉ số đô la Mỹ,1,99.96,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2017,Chỉ số giá tiêu dùng,1,100.46,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Hàng ăn và dịch vụ ăn uống,1,99.76,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Food & Beverage
2017,Lương thực,1,100.47,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2017,Thực phẩm,1,99.41,1,Sub-category,Economic Growth,True,Deflation,Winter/Tet,Food & Beverage
2017,Đồ uống và thuốc lá,1,100.78,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,"May mặc, mũ nón, giày dép",1,100.24,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Nhà ở và vật liệu xây dựng,1,100.57,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Thiết bị và đồ dùng gia đình,1,100.2,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2017,Thuốc và dịch vụ y tế,1,101.01,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Healthcare
2017,Giao thông,1,103.21,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Transport
2017,Bưu chính viễn thông,1,99.85,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2017,Giáo dục,1,100.47,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
