Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,09,19,,,,,,"1,658.62","1,665.18","1,671.94","1,638.44",863.96M,-0.39%,"26,382.5","26,384.0","26,405.0","26,362.5",,-0.01%,,,,,,,,,,
2025,09,18,,,,,,"1,665.18","1,670.97","1,679.63","1,645.58",863.67M,-0.35%,"26,385.0","26,360.0","26,399.0","26,352.5",,0.04%,19230.0,,18700.0,,,18540.0,20220.0,19980.0,20600.0,
2025,09,17,,,,,,"1,670.97","1,680.90","1,684.62","1,662.63",967.05M,-0.59%,"26,375.0","26,370.5","26,394.5","26,346.0",,-0.03%,,,,,,,,,,
2025,09,16,,,,,,"1,680.90","1,684.90","1,697.26","1,675.87",1.23B,-0.24%,"26,382.5","26,380.0","26,401.5","26,362.0",,-0.01%,,,,,,,,,,
2025,09,15,,,,,,"1,684.90","1,667.26","1,684.90","1,665.61",1.12B,1.06%,"26,385.0","26,387.0","26,402.5","26,362.0",,0.00%,,,,,,,,,,
2025,09,12,3634.01,3656.63,3630.59,3642.56,81642.0,"1,667.26","1,657.75","1,675.38","1,653.79",1.01B,0.57%,"26,385.0","26,389.0","26,412.5","26,370.5",,-0.07%,,,,,,,,,,
2025,09,11,3641.94,3649.09,3613.51,3633.91,84116.0,"1,657.75","1,643.26","1,659.19","1,605.76",1.20B,0.88%,"26,402.5","26,397.5","26,417.5","26,370.0",,0.03%,19170.0,,18640.0,,,18360.0,20040.0,19750.0,20400.0,
2025,09,10,3623.32,3657.57,3620.29,3640.55,89748.0,"1,643.26","1,637.32","1,652.68","1,629.29",833.10M,0.36%,"26,395.0","26,385.0","26,408.5","26,355.5",,0.03%,,,,,,,,,,
2025,09,09,3636.12,3674.12,3626.05,3626.23,94362.0,"1,637.32","1,624.53","1,637.32","1,613.01",1.01B,0.79%,"26,387.5","26,407.0","26,425.0","26,365.0",,-0.10%,,,,,,,,,,
2025,09,08,3592.28,3646.35,3579.64,3636.76,95319.0,"1,624.53","1,666.97","1,667.36","1,623.32",1.77B,-2.55%,"26,415.0","26,374.5","26,431.5","26,367.5",,0.06%,,,,,,,,,,
